date,strategy,spy_price,vix,conviction,strike,right,position_size,option_price,premium_collected,pnl,is_profitable,account_value
2024-08-05,SELL_PUT,517.38,38.57,5,492,P,2,0.01,2.0,2.0,True,25002.0
2024-08-06,SELL_PUT,522.15,27.71,4,496,P,2,0.01,2.0,2.0,True,25004.0
2024-08-07,SELL_PUT,518.66,27.85,4,493,P,2,0.01,2.0,2.0,True,25006.0
2024-08-08,SELL_PUT,530.65,23.79,3,504,P,2,0.01,2.0,-4.0,False,25002.0
2024-08-09,SELL_PUT,532.99,20.37,3,506,P,2,0.01,2.0,2.0,True,25004.0
2024-08-12,SELL_PUT,533.27,20.71,3,507,P,2,0.01,2.0,-4.0,False,25000.0
2024-09-04,SELL_PUT,550.95,21.32,3,523,P,2,0.01,2.0,-4.0,False,24996.0
2024-09-06,SELL_PUT,540.36,22.38,3,513,P,2,0.01,2.0,2.0,True,24998.0
2024-10-03,SELL_PUT,567.82,20.49,3,539,P,2,0.01,2.0,2.0,True,25000.0
2024-10-07,SELL_PUT,567.8,22.64,3,539,P,2,0.01,2.0,2.0,True,25002.0
